Time Stamp,Name,Load
01/01/2004 00:00:00,CAPITL,1015
01/01/2004 00:00:00,CENTRL,1651
01/01/2004 00:00:00,DUNWOD,618
01/01/2004 00:00:00,GENESE,972
01/01/2004 00:00:00,HUD VL,1120
01/01/2004 00:00:00,MHK VL,645
01/01/2004 00:00:00,MILLWD,223
01/01/2004 00:00:00,N.Y.C._LONGIL,7267
01/01/2004 00:00:00,NORTH,622
01/01/2004 00:00:00,WEST,1591
01/01/2004 00:00:47,CAPITL,1016
01/01/2004 00:00:47,CENTRL,1653
01/01/2004 00:00:47,DUNWOD,615
01/01/2004 00:00:47,GENESE,985
01/01/2004 00:00:47,HUD VL,1106
01/01/2004 00:00:47,MHK VL,641
01/01/2004 00:00:47,MILLWD,228
01/01/2004 00:00:47,N.Y.C._LONGIL,7272
01/01/2004 00:00:47,NORTH,625
01/01/2004 00:00:47,WEST,1609
01/01/2004 00:01:47,CAPITL,1021
01/01/2004 00:01:47,CENTRL,1647
01/01/2004 00:01:47,DUNWOD,618
01/01/2004 00:01:47,GENESE,980
01/01/2004 00:01:47,HUD VL,1096
01/01/2004 00:01:47,MHK VL,636
01/01/2004 00:01:47,MILLWD,221
01/01/2004 00:01:47,N.Y.C._LONGIL,7232
01/01/2004 00:01:47,NORTH,641
01/01/2004 00:01:47,WEST,1608
01/01/2004 00:05:47,CAPITL,990
01/01/2004 00:05:47,CENTRL,1627
01/01/2004 00:05:47,DUNWOD,610
01/01/2004 00:05:47,GENESE,960
01/01/2004 00:05:47,HUD VL,1084
01/01/2004 00:05:47,MHK VL,630
01/01/2004 00:05:47,MILLWD,218
01/01/2004 00:05:47,N.Y.C._LONGIL,7182
01/01/2004 00:05:47,NORTH,640
01/01/2004 00:05:47,WEST,1591
01/01/2004 00:15:47,CAPITL,998
01/01/2004 00:15:47,CENTRL,1630
01/01/2004 00:15:47,DUNWOD,620
01/01/2004 00:15:47,GENESE,951
01/01/2004 00:15:47,HUD VL,1099
01/01/2004 00:15:47,MHK VL,620
01/01/2004 00:15:47,MILLWD,215
01/01/2004 00:15:47,N.Y.C._LONGIL,7150
01/01/2004 00:15:47,NORTH,628
01/01/2004 00:15:47,WEST,1608
01/01/2004 00:17:17,CAPITL,989
01/01/2004 00:17:17,CENTRL,1617
01/01/2004 00:17:17,DUNWOD,608
01/01/2004 00:17:17,GENESE,948
01/01/2004 00:17:17,HUD VL,1077
01/01/2004 00:17:17,MHK VL,630
01/01/2004 00:17:17,MILLWD,217
01/01/2004 00:17:17,N.Y.C._LONGIL,7133
